"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"44","colosenses","2","15","Plenitud de vida en Cristo","y despojando a los principados y a las potestades, los exhibió públicamente, triunfando sobre ellos en la cruz.","colosenses_2_15","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"45","colosenses","2","16","Plenitud de vida en Cristo","Por tanto, nadie os juzgue en comida o en bebida, o en cuanto a días de fiesta, luna nueva o días de reposo,","colosenses_2_16","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"46","colosenses","2","17","Plenitud de vida en Cristo","todo lo cual es sombra de lo que ha de venir; pero el cuerpo es de Cristo.","colosenses_2_17","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"47","colosenses","2","18","Plenitud de vida en Cristo","Nadie os prive de vuestro premio, afectando humildad y culto a los ángeles, entremetiéndose en lo que no ha visto, vanamente hinchado por su propia mente carnal,","colosenses_2_18","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"48","colosenses","2","19","Plenitud de vida en Cristo","y no asiéndose de la Cabeza, en virtud de quien todo el cuerpo, nutriéndose y uniéndose por las coyunturas y ligamentos, crece con el crecimiento que da Dios.","colosenses_2_19","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"49","colosenses","2","20","Plenitud de vida en Cristo","Pues si habéis muerto con Cristo en cuanto a los rudimentos del mundo, ¿por qué, como si vivieseis en el mundo, os sometéis a preceptos","colosenses_2_20","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"50","colosenses","2","21","Plenitud de vida en Cristo","tales como: No manejes, ni gustes, ni aun toques","colosenses_2_21","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"51","colosenses","2","22","Plenitud de vida en Cristo","(en conformidad a mandamientos y doctrinas de hombres), cosas que todas se destruyen con el uso?","colosenses_2_22","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"52","colosenses","2","23","Plenitud de vida en Cristo","Tales cosas tienen a la verdad cierta reputación de sabiduría en culto voluntario, en humildad y en duro trato del cuerpo; pero no tienen valor alguno contra los apetitos de la carne.","colosenses_2_23","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"53","colosenses","3","1","","Si, pues, habéis resucitado con Cristo, buscad las cosas de arriba, donde está Cristo sentado a la diestra de Dios.","colosenses_3_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=3&version=rv60","",""
